Filename,Style,Genre,Date,Predictions,Real Values
96265.jpg,Naïve Art (Primitivism),,,Boris Kustodiev,kirsty ellen mottram
67048.jpg,Naïve Art (Primitivism),,,Boris Kustodiev,kirsty ellen mottram
38653.jpg,Naïve Art (Primitivism),,,Boris Kustodiev,kirsty ellen mottram
11347.jpg,Naïve Art (Primitivism),,,Vincent van Gogh,kirsty ellen mottram
57436.jpg,Tachisme,abstract,1991.0,Theophile Steinlen,Emil Schumacher
73312.jpg,Surrealism,symbolic painting,,Theophile Steinlen,Konstantin Vasilyev
13495.jpg,Art Nouveau (Modern),landscape,1910,Vincent van Gogh,Ferdinand Hodler
63849.jpg,Art Nouveau (Modern),self-portrait,1914,Vincent van Gogh,Ferdinand Hodler
20153.jpg,Mannerism (Late Renaissance),portrait,1534,Camille Corot,Giorgio Vasari
70079.jpg,Baroque,religious painting,c.1660,Edgar Degas,Francisco de Zurbaran
13674.jpg,Art Nouveau (Modern),portrait,c.1912,Vincent van Gogh,Ferdinand Hodler
88764.jpg,Art Nouveau (Modern),design,c.1910,Theophile Steinlen,Koloman Moser
58579.jpg,Symbolism,genre painting,,Vincent van Gogh,Konstantin Vasilyev
88133.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
79416.jpg,Symbolism,mythological painting,,Theophile Steinlen,Konstantin Vasilyev
80474.jpg,Baroque,still life,,Edgar Degas,Frans Snyders
58980.jpg,,,,Camille Corot,Eugeniusz Żak
76474.jpg,Contemporary Realism,portrait,,Boris Kustodiev,Konstantin Vasilyev
8180.jpg,Baroque,animal painting,1658,Camille Corot,Adriaen van de Velde
34412.jpg,Symbolism,landscape,,Camille Corot,Konstantin Vasilyev
83267.jpg,Ink and wash painting,landscape,1699.0,Vincent van Gogh,Shitao
71350.jpg,Symbolism,sketch and study,1909,Boris Kustodiev,Ferdinand Hodler
22481.jpg,Symbolism,mythological painting,,Gustave Dore,Konstantin Vasilyev
56560.jpg,Early Renaissance,religious painting,c.1439,Boris Kustodiev,Domenico Veneziano
24002.jpg,Naïve Art (Primitivism),,,Boris Kustodiev,kirsty ellen mottram
1589.jpg,Realism,landscape,1878,Vincent van Gogh,Ferdinand Hodler
33307.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
76107.jpg,,,,Theophile Steinlen,Marie Laurencin
22326.jpg,Symbolism,sketch and study,1908,Theophile Steinlen,Ferdinand Hodler
46001.jpg,Symbolism,genre painting,1917,Pierre-Auguste Renoir,Franz Stuck
23476.jpg,Art Nouveau (Modern),design,1905,Vincent van Gogh,Koloman Moser
20616.jpg,Realism,landscape,1878,Camille Pissarro,Ferdinand Hodler
61194.jpg,Art Nouveau (Modern),portrait,1898,Vincent van Gogh,Ferdinand Hodler
50186.jpg,Symbolism,genre painting,,Theophile Steinlen,Konstantin Vasilyev
57202.jpg,Symbolism,mythological painting,,Theophile Steinlen,Konstantin Vasilyev
14408.jpg,Symbolism,self-portrait,1872,Pierre-Auguste Renoir,Arnold Böcklin
6586.jpg,Art Nouveau (Modern),landscape,1908,Vincent van Gogh,Ferdinand Hodler
909.jpg,Neoclassicism,nude painting (nu),1896,Edgar Degas,William-Adolphe Bouguereau
99492.jpg,Magic Realism,nude painting (nu),1905,Boris Kustodiev,Felix Vallotton 
21589.jpg,,figurative,1964,Boris Kustodiev,Mario Tozzi
85018.jpg,Impressionism,sketch and study,1917,Boris Kustodiev,Pierre-Auguste Renoir
100951.jpg,Symbolism,portrait,,Vincent van Gogh,Konstantin Vasilyev
19019.jpg,Art Nouveau (Modern),nude painting (nu),c.1914,Vincent van Gogh,Koloman Moser
1538.jpg,Surrealism,symbolic painting,1963.0,Theophile Steinlen,Konstantin Vasilyev
25137.jpg,Contemporary Realism,portrait,,Vincent van Gogh,Konstantin Vasilyev
27781.jpg,Baroque,religious painting,1580,Pierre-Auguste Renoir,Guido Reni
97711.jpg,Contemporary Realism,cloudscape,,Vincent van Gogh,Konstantin Vasilyev
58549.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
76134.jpg,Surrealism,symbolic painting,,Edgar Degas,Konstantin Vasilyev
49235.jpg,Romanticism,cityscape,1874,Vincent van Gogh,Rudolf von Alt
93054.jpg,Luminism,landscape,1862.0,Edgar Degas,Frederic Edwin Church
66594.jpg,Impressionism,genre painting,1885,Vincent van Gogh,Ferdinand Hodler
956.jpg,Post-Impressionism,landscape,1908,Vincent van Gogh,Ferdinand Hodler
68576.jpg,Baroque,self-portrait,1669,Edgar Degas,Rembrandt
21508.jpg,Northern Renaissance,religious painting,c.1500,Boris Kustodiev,Gerard David
19436.jpg,Symbolism,self-portrait,,Vincent van Gogh,Konstantin Vasilyev
46153.jpg,Baroque,cityscape,1658,Camille Pissarro,Pieter de Hooch
44328.jpg,Mannerism (Late Renaissance),cityscape,c.1599,Vincent van Gogh,El Greco
30827.jpg,Symbolism,mythological painting,,Camille Corot,Konstantin Vasilyev
3965.jpg,Realism,landscape,1890,Vincent van Gogh,Ferdinand Hodler
2731.jpg,Symbolism,animal painting,,Theophile Steinlen,Konstantin Vasilyev
59630.jpg,Baroque,religious painting,c.1600,Edgar Degas,Guido Reni
79659.jpg,Symbolism,landscape,,Theophile Steinlen,Konstantin Vasilyev
21761.jpg,Mannerism (Late Renaissance),religious painting,1550,Edgar Degas,Tintoretto
19040.jpg,Romanticism,portrait,1827,Vincent van Gogh,Orest Kiprensky
71631.jpg,Art Nouveau (Modern),design,c.1901,Vincent van Gogh,Koloman Moser
19831.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
34202.jpg,Contemporary Realism,landscape,,Camille Pissarro,Konstantin Vasilyev
77675.jpg,Art Nouveau (Modern),symbolic painting,1893,Vincent van Gogh,Ferdinand Hodler
20408.jpg,Ukiyo-e,landscape,,Theophile Steinlen,Katsushika Hokusai
3022.jpg,Art Nouveau (Modern),landscape,1915,Boris Kustodiev,Ferdinand Hodler
62684.jpg,Art Nouveau (Modern),design,1897,Vincent van Gogh,Koloman Moser
22289.jpg,Impressionism,landscape,1885,Camille Pissarro,Alfred Sisley
87823.jpg,Ukiyo-e,genre painting,,Boris Kustodiev,Katsushika Hokusai
25505.jpg,Rococo,mythological painting,1776,Edgar Degas,Benjamin West
84066.jpg,Symbolism,landscape,,Theophile Steinlen,Konstantin Vasilyev
32539.jpg,Ukiyo-e,landscape,,Vincent van Gogh,Katsushika Hokusai
62115.jpg,Ukiyo-e,landscape,,Theophile Steinlen,Katsushika Hokusai
75858.jpg,Symbolism,mythological painting,,Pyotr Konchalovsky,Konstantin Vasilyev
87043.jpg,Art Nouveau (Modern),design,1909.0,Camille Pissarro,Ivan Bilibin
48058.jpg,,landscape,c.1821,Theophile Steinlen,Katsushika Hokusai
97297.jpg,Art Nouveau (Modern),design,1909.0,Vincent van Gogh,Ivan Bilibin
3974.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
30405.jpg,Contemporary Realism,landscape,,Pyotr Konchalovsky,Konstantin Vasilyev
53095.jpg,Symbolism,sketch and study,c.1912,Boris Kustodiev,Ferdinand Hodler
16339.jpg,Romanticism,literary painting,1880,Vincent van Gogh,Dante Gabriel Rossetti
10072.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
98317.jpg,,portrait,1972,Vincent van Gogh,Mario Tozzi
67638.jpg,Baroque,portrait,1640,Camille Corot,Rembrandt
38172.jpg,Realism,genre painting,c.1871,Gustave Dore,Thomas Eakins
73905.jpg,Realism,sketch and study,c.1896,Theophile Steinlen,Ferdinand Hodler
88229.jpg,Romanticism,portrait,1885,Boris Kustodiev,Sir Lawrence Alma-Tadema
20281.jpg,Symbolism,mythological painting,,Boris Kustodiev,Konstantin Vasilyev
12158.jpg,Symbolism,history painting,,Vincent van Gogh,Konstantin Vasilyev
64091.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
13612.jpg,Symbolism,mythological painting,,Boris Kustodiev,Konstantin Vasilyev
3503.jpg,Symbolism,portrait,,Pierre-Auguste Renoir,Konstantin Vasilyev
91225.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
2295.jpg,Symbolism,mythological painting,,Boris Kustodiev,Konstantin Vasilyev
94653.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
15960.jpg,Ukiyo-e,cityscape,,Vincent van Gogh,Katsushika Hokusai
33637.jpg,Rococo,portrait,1782,Camille Corot,Dmitry Levitzky
71381.jpg,Symbolism,landscape,1918,Vincent van Gogh,Ferdinand Hodler
55985.jpg,Surrealism,religious painting,1963.0,Theophile Steinlen,Konstantin Vasilyev
90339.jpg,Art Nouveau (Modern),flower painting,1907,Boris Kustodiev,Koloman Moser
14640.jpg,Symbolism,mythological painting,,Edgar Degas,Konstantin Vasilyev
55370.jpg,Romanticism,genre painting,1843,Theophile Steinlen,Karl Bodmer
54079.jpg,Rococo,portrait,1797,Edgar Degas,Vladimir Borovikovsky
44041.jpg,Post-Impressionism,landscape,1916,Pyotr Konchalovsky,Ferdinand Hodler
90000.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
73334.jpg,Art Nouveau (Modern),design,1914.0,Vincent van Gogh,Ivan Bilibin
26637.jpg,Ukiyo-e,landscape,,Theophile Steinlen,Katsushika Hokusai
73658.jpg,Romanticism,landscape,1839,Vincent van Gogh,Rudolf von Alt
5217.jpg,Realism,portrait,1891,Camille Corot,William-Adolphe Bouguereau
17940.jpg,Romanticism,landscape,1839,Vincent van Gogh,Rudolf von Alt
79050.jpg,Realism,portrait,c.1902,Edgar Degas,Thomas Eakins
62838.jpg,Rococo,portrait,1800,Pierre-Auguste Renoir,Dmitry Levitzky
27414.jpg,High Renaissance,allegorical painting,1512,Edgar Degas,Titian
83017.jpg,Symbolism,landscape,c.1913,Vincent van Gogh,Koloman Moser
27245.jpg,Symbolism,history painting,,Vincent van Gogh,Konstantin Vasilyev
73615.jpg,Romanticism,landscape,1845,Theophile Steinlen,Rudolf von Alt
99039.jpg,Symbolism,religious painting,1964.0,Edgar Degas,Konstantin Vasilyev
101278.jpg,Ukiyo-e,landscape,,Boris Kustodiev,Katsushika Hokusai
35919.jpg,Impressionism,landscape,1873,Camille Pissarro,Claude Monet
54563.jpg,High Renaissance,portrait,c.1504,Edgar Degas,Leonardo da Vinci
3920.jpg,Realism,sketch and study,,Theophile Steinlen,Theophile Steinlen
37075.jpg,Post-Impressionism,landscape,1904,Vincent van Gogh,Ferdinand Hodler
70774.jpg,Cubism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
67954.jpg,Realism,genre painting,,Theophile Steinlen,Honore Daumier
37664.jpg,Impressionism,genre painting,c.1879,Camille Pissarro,Ferdinand Hodler
99369.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
13423.jpg,Expressionism,sketch and study,c.1913,Vincent van Gogh,Ernst Ludwig Kirchner
44296.jpg,Impressionism,landscape,1889,Boris Kustodiev,Childe Hassam
73187.jpg,Symbolism,mythological painting,,Theophile Steinlen,Konstantin Vasilyev
13789.jpg,Symbolism,genre painting,,Vincent van Gogh,Odilon Redon
93042.jpg,Baroque,genre painting,c.1666,Boris Kustodiev,Gabriel Metsu
92270.jpg,Ukiyo-e,genre painting,,Theophile Steinlen,Katsushika Hokusai
75073.jpg,Romanticism,genre painting,,Theophile Steinlen,Ford Madox Brown
74639.jpg,Ukiyo-e,genre painting,,Theophile Steinlen,Katsushika Hokusai
1999.jpg,Naïve Art (Primitivism),,,Boris Kustodiev,kirsty ellen mottram
26882.jpg,Art Nouveau (Modern),illustration,1897,Theophile Steinlen,Koloman Moser
57699.jpg,Romanticism,religious painting,1847,Boris Kustodiev,Ford Madox Brown
22266.jpg,Realism,landscape,1878,Vincent van Gogh,Ferdinand Hodler
14584.jpg,Symbolism,religious painting,,Edgar Degas,Konstantin Vasilyev
8096.jpg,Symbolism,sketch and study,c.1913,Boris Kustodiev,Ferdinand Hodler
85670.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
19571.jpg,Neoclassicism,interior,,Gustave Dore,Giovanni Battista Piranesi
57901.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
56135.jpg,Romanticism,nude painting (nu),1800,Edgar Degas,Francisco Goya
44287.jpg,Romanticism,cityscape,1831,Camille Pissarro,Rudolf von Alt
97939.jpg,Neoclassicism,veduta,,Gustave Dore,Giovanni Battista Piranesi
59006.jpg,Symbolism,battle painting,1973.0,Pyotr Konchalovsky,Konstantin Vasilyev
41368.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
72038.jpg,Symbolism,mythological painting,,Boris Kustodiev,Konstantin Vasilyev
9314.jpg,Symbolism,sketch and study,c.1913,Boris Kustodiev,Ferdinand Hodler
5438.jpg,Romanticism,portrait,1843,Theophile Steinlen,Karl Bodmer
71143.jpg,Romanticism,portrait,1800,Edgar Degas,Francisco Goya
93955.jpg,Symbolism,portrait,,Theophile Steinlen,Konstantin Vasilyev
2039.jpg,Art Nouveau (Modern),landscape,1913,Vincent van Gogh,Koloman Moser
90674.jpg,Symbolism,mythological painting,,Theophile Steinlen,Konstantin Vasilyev
37447.jpg,Baroque,sketch and study,,Theophile Steinlen,Rembrandt
32071.jpg,High Renaissance,religious painting,c.1505,Edgar Degas,Leonardo da Vinci
30287.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
28918.jpg,Neoclassicism,capriccio,,Gustave Dore,Giovanni Battista Piranesi
78480.jpg,Neoplasticism,abstract,1925,Boris Kustodiev,Theo van Doesburg
34080.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
2186.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
37573.jpg,Lyrical Abstraction,abstract,1972.0,Theophile Steinlen,Giulio Turcato
8587.jpg,Byzantine,religious painting,1414,Edgar Degas,Andrei Rublev
36944.jpg,Neoclassicism,veduta,,Gustave Dore,Giovanni Battista Piranesi
76939.jpg,Symbolism,landscape,c.1912,Vincent van Gogh,Koloman Moser
6282.jpg,Impressionism,marina,,Camille Pissarro,Konstantinos Volanakis
4268.jpg,Art Nouveau (Modern),genre painting,1897,Boris Kustodiev,Carl Larsson
23250.jpg,Art Nouveau (Modern),genre painting,1906,Vincent van Gogh,Carl Larsson
36739.jpg,Neoclassicism,interior,,Gustave Dore,Giovanni Battista Piranesi
6721.jpg,Symbolism,sketch and study,c.1913,Boris Kustodiev,Ferdinand Hodler
8568.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
83298.jpg,Art Nouveau (Modern),design,1896,Theophile Steinlen,Koloman Moser
97028.jpg,Magic Realism,still life,1906,Boris Kustodiev,Felix Vallotton 
49442.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
25815.jpg,Romanticism,cityscape,1897,Camille Pissarro,Rudolf von Alt
100555.jpg,Romanticism,genre painting,1849,Pyotr Konchalovsky,Dante Gabriel Rossetti
35709.jpg,Art Nouveau (Modern),genre painting,c.1895,Pierre-Auguste Renoir,Carl Larsson
44013.jpg,Symbolism,caricature,,Theophile Steinlen,Felicien Rops
77251.jpg,Realism,marina,,Eugene Boudin,Konstantinos Volanakis
52965.jpg,Northern Renaissance,religious painting,1514,Vincent van Gogh,Albrecht Durer
112.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
54433.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
30715.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
15109.jpg,Neoclassicism,capriccio,,Gustave Dore,Giovanni Battista Piranesi
66331.jpg,Neoclassicism,interior,,Gustave Dore,Giovanni Battista Piranesi
2898.jpg,Romanticism,design,1885.0,Vincent van Gogh,Luc-Olivier Merson
52678.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
34943.jpg,Realism,genre painting,c.1874,Edgar Degas,James Tissot
44271.jpg,Symbolism,history painting,,Vincent van Gogh,Konstantin Vasilyev
68709.jpg,Expressionism,portrait,c.1898,Theophile Steinlen,Paula Modersohn-Becker
43301.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
96902.jpg,Neoclassicism,genre painting,1882,Pierre-Auguste Renoir,William-Adolphe Bouguereau
27413.jpg,Surrealism,marina,1976.0,Boris Kustodiev,Sven Jonson
84630.jpg,Symbolism,sketch and study,c.1896,Boris Kustodiev,Ferdinand Hodler
7220.jpg,Realism,nude painting (nu),,Theophile Steinlen,Giovanni Boldini
72270.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
94355.jpg,Muralism,symbolic painting,1924,Vincent van Gogh,Jose Clemente Orozco
95685.jpg,Muralism,symbolic painting,1934,Pyotr Konchalovsky,Jose Clemente Orozco
82764.jpg,Impressionism,flower painting,1917,Pyotr Konchalovsky,Claude Monet
75326.jpg,Northern Renaissance,religious painting,,Pierre-Auguste Renoir,Jan van Hemessen
20717.jpg,Naïve Art (Primitivism),genre painting,,Boris Kustodiev,Niko Pirosmani
20796.jpg,Naïve Art (Primitivism),genre painting,,Camille Pissarro,Niko Pirosmani
5828.jpg,Northern Renaissance,religious painting,,Pierre-Auguste Renoir,Jan van Hemessen
99218.jpg,Romanticism,portrait,1861,Vincent van Gogh,Dante Gabriel Rossetti
52003.jpg,Art Nouveau (Modern),landscape,1916.0,Theophile Steinlen,Theophile Steinlen
18706.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
46868.jpg,Impressionism,cityscape,1871,Eugene Boudin,Eugene Boudin
70762.jpg,Symbolism,sketch and study,c.1897,Boris Kustodiev,Ferdinand Hodler
64947.jpg,Impressionism,landscape,,Camille Pissarro,Kimon Loghi
59086.jpg,Neoclassicism,interior,,Gustave Dore,Giovanni Battista Piranesi
74089.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
493.jpg,Baroque,still life,1633,Camille Corot,Francisco de Zurbaran
54850.jpg,Art Nouveau (Modern),illustration,,Theophile Steinlen,Ivan Bilibin
77603.jpg,Art Nouveau (Modern),illustration,,Theophile Steinlen,Ivan Bilibin
26665.jpg,Art Nouveau (Modern),illustration,1900.0,Theophile Steinlen,Ivan Bilibin
19081.jpg,Art Nouveau (Modern),illustration,1900.0,Theophile Steinlen,Ivan Bilibin
84564.jpg,Art Nouveau (Modern),illustration,1899.0,Theophile Steinlen,Ivan Bilibin
6985.jpg,Art Nouveau (Modern),illustration,1899.0,Theophile Steinlen,Ivan Bilibin
94106.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
91531.jpg,Tachisme,abstract,1991.0,Theophile Steinlen,Emil Schumacher
6454.jpg,Tenebrism,religious painting,,Edgar Degas,Matthias Stom
74393.jpg,Naïve Art (Primitivism),still life,,Vincent van Gogh,Niko Pirosmani
56396.jpg,Symbolism,mythological painting,1883,Edgar Degas,Arnold Böcklin
77922.jpg,Neoclassicism,mythological painting,1766,Edgar Degas,Benjamin West
12704.jpg,Realism,marina,,Camille Corot,Konstantinos Volanakis
43269.jpg,Realism,sketch and study,,Theophile Steinlen,Theophile Steinlen
29774.jpg,Expressionism,landscape,c.1908,Pyotr Konchalovsky,Paula Modersohn-Becker
95715.jpg,Post-Impressionism,genre painting,1895,Vincent van Gogh,Henri de Toulouse-Lautrec
83057.jpg,Northern Renaissance,religious painting,c.1475,Vincent van Gogh,Hugo van der Goes
28555.jpg,Romanticism,portrait,1843,Theophile Steinlen,Karl Bodmer
36286.jpg,Northern Renaissance,religious painting,1480,Edgar Degas,Hieronymus Bosch
17689.jpg,Art Nouveau (Modern),sketch and study,c.1912,Boris Kustodiev,Ferdinand Hodler
83332.jpg,Concretism,abstract,1980,Theophile Steinlen,Olle Baertling
36557.jpg,Expressionism,self-portrait,1907,Vincent van Gogh,Paula Modersohn-Becker
70630.jpg,Art Nouveau (Modern),sketch and study,c.1912,Boris Kustodiev,Ferdinand Hodler
80298.jpg,Art Nouveau (Modern),illustration,,Theophile Steinlen,Ivan Bilibin
30689.jpg,Art Nouveau (Modern),illustration,,Theophile Steinlen,Ivan Bilibin
872.jpg,Symbolism,self-portrait,,Boris Kustodiev,Konstantin Vasilyev
34200.jpg,Impressionism,landscape,1871,Vincent van Gogh,Alfred Sisley
5445.jpg,Neoclassicism,nude painting (nu),c.1884,Edgar Degas,William-Adolphe Bouguereau
48859.jpg,Baroque,genre painting,1615,Theophile Steinlen,Adriaen van de Venne
53605.jpg,Muralism,portrait,1949,Pyotr Konchalovsky,Jose Clemente Orozco
7391.jpg,Neoclassicism,cityscape,,Gustave Dore,Giovanni Battista Piranesi
86058.jpg,Mannerism (Late Renaissance),religious painting,c.1580,Eugene Boudin,Paolo Veronese
18649.jpg,Naïve Art (Primitivism),cityscape,1908,Camille Pissarro,Henri Rousseau
43440.jpg,Art Nouveau (Modern),poster,1890.0,Theophile Steinlen,Theophile Steinlen
32606.jpg,Mannerism (Late Renaissance),allegorical painting,,Edgar Degas,Paolo Veronese
49287.jpg,Romanticism,interior,1842,Camille Pissarro,Rudolf von Alt
25600.jpg,Academicism,mythological painting,,Edgar Degas,Frederic Leighton
54739.jpg,Art Nouveau (Modern),illustration,1900.0,Theophile Steinlen,Ivan Bilibin
58613.jpg,Art Nouveau (Modern),illustration,1901.0,Theophile Steinlen,Ivan Bilibin
58201.jpg,Art Nouveau (Modern),illustration,1899.0,Theophile Steinlen,Ivan Bilibin
34599.jpg,Art Nouveau (Modern),design,,Vincent van Gogh,Koloman Moser
101098.jpg,Symbolism,allegorical painting,c.1888,Edgar Degas,Gustav Klimt
59737.jpg,Expressionism,genre painting,1914,Edgar Degas,August Macke
22368.jpg,Art Nouveau (Modern),allegorical painting,1918,Vincent van Gogh,Gustav Klimt
20129.jpg,Symbolism,portrait,,Vincent van Gogh,Konstantin Vasilyev
36983.jpg,Symbolism,portrait,,Vincent van Gogh,Konstantin Vasilyev
56026.jpg,Rococo,genre painting,1757,Camille Corot,Giovanni Domenico Tiepolo
37872.jpg,Ukiyo-e,portrait,,Vincent van Gogh,Utagawa Kuniyoshi
76811.jpg,Baroque,religious painting,1633,Boris Kustodiev,Francisco de Zurbaran
68855.jpg,Neoclassicism,interior,,Gustave Dore,Giovanni Battista Piranesi
92423.jpg,Symbolism,literary painting,1890,Pyotr Konchalovsky,Mikhail Vrubel
19517.jpg,Suprematism,abstract,,Theophile Steinlen,Lyubov Popova
24475.jpg,Rococo,portrait,,Camille Corot,Pietro Longhi
33485.jpg,Mannerism (Late Renaissance),allegorical painting,,Edgar Degas,Paolo Veronese
14369.jpg,Neoclassicism,genre painting,1864,Camille Corot,William-Adolphe Bouguereau
55437.jpg,Baroque,self-portrait,1655,Theophile Steinlen,Gerrit Dou
95691.jpg,Symbolism,mythological painting,,Vincent van Gogh,Konstantin Vasilyev
17833.jpg,Art Nouveau (Modern),design,1896,Theophile Steinlen,Koloman Moser
21096.jpg,Neoclassicism,portrait,1799,Camille Corot,Jacques-Louis David
79613.jpg,Neoclassicism,cityscape,,Vincent van Gogh,Giovanni Battista Piranesi
86329.jpg,Naïve Art (Primitivism),,,Theophile Steinlen,kirsty ellen mottram
24221.jpg,Mannerism (Late Renaissance),portrait,c.1555,Pyotr Konchalovsky,Agnolo Bronzino
47609.jpg,Neo-Romanticism,genre painting,,Gustave Dore,Theodor Severin Kittelsen
59861.jpg,Mannerism (Late Renaissance),portrait,1542,Pyotr Konchalovsky,Agnolo Bronzino
22129.jpg,Art Nouveau (Modern),genre painting,1906,Vincent van Gogh,Filipp Malyavin
85347.jpg,Art Nouveau (Modern),design,1922,Theophile Steinlen,Serge Sudeikin
90013.jpg,Ukiyo-e,mythological painting,1836,Vincent van Gogh,Utagawa Kuniyoshi
